"entry_number";"bio1";"bio10";"bio11";"bio12";"bio13";"bio14";"bio15";"bio16";"bio17";"bio18";"bio19";"bio2";"bio(ad)20";"bio(ad)21";"bio(ad)22";"bio(ad)23";"bio(ad)24";"bio(ad)25";"bio(ad)26";"bio(ad)27";"bio3";"bio4";"bio5";"bio6";"bio7";"bio8";"bio9";"cum_ws";"dgrb";"dgre";"daily_ws";"dtr_au";"dtr_sp";"dtr_su";"dtr_wi";"dwsb";"dwse";"bd_subsoil";"bd_topsoil";"cf_subsoil";"cf_topsoil";"clay_subsoil";"clay_topsoil";"oc_subsoil";"oc_topsoil";"root_soil";"sand_subsoil";"sand_topsoil";"silt_subsoil";"silt_topsoil";"tawc_soil";"etp_au";"etp_sp";"etp_su";"etp_wi";"fd_an";"id_an";"laut";"lmgr";"lmts";"lmws";"lspring";"lvr";"ph_soil";"pr_au";"pr_etp_au";"pr_etp_sp";"pr_etp_su";"pr_etp_wi";"pr_sp";"pr_su";"pr_wi";"r01mm_au";"r01mm_sp";"r01mm_su";"r01mm_wi";"rx1day_au";"rx1day_sp";"rx1day_su";"rx1day_wi";"sdii_au";"sdii_sp";"sdii_su";"sdii_wi";"sis_au";"sis_sp";"sis_su";"sis_wi";"staut";"stspring";"su_an";"tas_au";"tas_sp";"tas_su";"tas_wi";"tasmax_au";"tasmax_sp";"tasmax_su";"tasmax_wi";"tasmin_au";"tasmin_sp";"tasmin_su";"tasmin_wi";"tnn_au";"tnn_sp";"tnn_su";"tnn_wi";"tr_an";"txx_au";"txx_sp";"txx_su";"txx_wi"
1;4,26557553336101;12,5113490612476;-3,59403549706263;1363,21275186539;77,8762817382813;30,8966784477233;1033,42560184149;375,995481491089;261,289691925049;368,728145599365;301,42894077301;6,1280158464487;146,374261777509;209,187726091384;137,075133566733;296,875139319468;229,62121971358;52,1019658336647;231,653012032633;4,55380145354213;25,9731595894199;626,644244538563;17,3871862634436;-6,20646173056068;23,5936479940043;11,9157334926325;0,529738709420891;0;113;308;0;5,3780528064414;6,88864959782853;7,08980277208318;5,15708259678064;NA;NA;1,0334210395813;1,62000000476837;NA;10;8;8;2,33100008964539;2,58999991416931;50;79;79;13;13;92,4981803894042;58,8991321849836;110,853296812515;257,568188082088;6,83822259618034;156,818181350827;80,5238086283207;189;196;0;0;7;5;3,69489932060242;309,108279705048;250,209147520064;159,76735300209;174,287650693547;344,789760973919;270,620649814606;431,855838775635;351,627983570099;37,5909094810486;38,5909090042114;51,8181819915771;48,3636364936829;22,6632251739502;20,679069519043;24,2872333526611;18,6788539886475;7,90832567214966;6,4780334631602;8,01970025471279;6,60613509586879;77;161,666666666667;191,857142857143;47,5714285714286;1818,776959;47,64875336;3,09523814916611;3,8661065436029;4,47495749337335;12,1046726007409;-3,41058979423676;11,8054873379794;13,38497472986;17,4651614498783;0,593520365132937;-3,67928681807082;-3,04949471609931;6,7888146338525;-6,20646173056068;-9,01326529762959;-8,42988087047228;2,40220309170812;-12,3432581121271;0;17,4799091685902;20,1144722678445;23,8922141335227;7,40102677778766
2;8,34253784323234;17,4426345726113;-0,680145418626726;712,133661270142;39,5434384346008;18,1320939064026;580,643048952575;204,332917690277;133,781144380569;201,941404342651;148,739818572998;9,24602990485492;-93,1196306525887;69,9553755367622;-92,5153653281076;138,417660212256;297,452548342866;63,8257688438072;294,456769670759;10,3221583607419;32,1545718935057;697,26837956184;24,9969607662845;-3,7579856079894;28,7549463742739;16,8901399455546;3,24800127037678;-1031,866938;71;308;-13,94414781;7,8796339158888;11,2312729575417;11,7658702871574;6,19574918222044;200;274;1,41999995708466;1,4099999666214;19;10;20;20;0,5;1,45000004768372;130;45;42;35;38;160,084861755371;78,5744403257796;177,99686701184;329,629720759082;16,3569486172743;106,409090980887;30,3809526264668;34;238;0;75;129;7;3,76739764213562;155,299490690231;76,7250503644518;-27,3307100046223;-95,6428433176759;155,824187514012;150,666157007217;233,986877441406;172,181136131286;28,7727272510529;29,5454545021057;38,5454540252686;35,5;12,9024295806885;13,4785375595093;14,0839385986328;11,1643896102905;4,96330988407135;4,77137839794159;5,78744609015329;4,27919946398054;77,8333333333333;177,166666666667;209,428571428571;45,2857142857143;275,6459087;1551,054678;41,7619049027562;7,16088045458775;9,43707025040797;17,039541860945;-0,279787618935491;18,7541702468674;20,469596407011;24,9969607662845;6,94165221375306;-1,22570529293702;0,367998435280563;9,57775664886873;-3,80841833337559;-6,07140613902697;-4,42336398037995;4,87981012517758;-11,728084078702;0,0454545468091965;23,8343139648438;26,8865683815696;30,4893266157671;12,6597048672763
3;4,30884544870834;13,0460698742887;-4,32565117233241;1145,4494342804;69,0921421051025;28,4110307693481;1076,16294709043;358,244971752167;213,698122024536;355,519739151001;222,876309394836;7,64738347772515;115,405596540346;211,291584449258;111,489593320853;220,500868197376;242,839375211821;2,40653757527833;244,030145830148;2,37544119746013;29,3831262628514;672,798024552204;19,0245613395394;-7,00188461898207;26,0264459585215;12,5226311522645;-4,04794677655932;0;113;308;0;6,83679409770222;8,5533684239243;8,86353197257019;6,34946735472906;NA;NA;1,41999995708466;1,4099999666214;19;10;20;20;0,5;1,45000004768372;130;45;42;35;38;160,084861755371;58,6711068765847;120,172702047964;271,513487684262;3,5000947311448;159,272729083896;66,3809516467154;133;196;0;0;63;5;3,62089514732361;216,956027030945;158,28492015436;140,518027570109;133,051175725925;259,737919490047;260,690729618073;404,564663410187;263,238014221191;32,4090905189514;41,0909090042114;50,5909094810486;41,4999995231628;15,9802236557007;19,7613143920898;20,5883617401123;12,9531393051147;6,43701815605164;6,00263770421346;7,70615632193429;5,70217296055385;80,1666666666667;167,166666666667;197,714285714286;48,2857142857143;1324,012636;618,2681903;6,23809523135423;3,71063441156827;5,01190622172834;12,6125901853884;-4,08477049015446;13,4744960636288;15,0651283165077;19,0245613395394;1,78911822430501;-4,48568647310329;-3,07518338290126;6,82612376027295;-7,00188461898207;-9,63718885941937;-8,30243530273435;2,79308055530897;-14,1524615201083;0;18,8355166348544;21,5076440984553;24,7771018288352;7,90766712535514
6;9,80586649049653;18,5518996564857;1,39654637373889;578,864531517029;32,1405119895936;11,5941363573074;574,029328267202;169,8267557621;103,783580303192;167,529138088226;111,462067246437;9,05348016687763;-91,2055966327714;32,189734358023;-131,225497256626;94,3467665989372;261,032352394872;71,5938459451692;298,754635344852;17,1153006475;31,9347090858165;663,238902036698;26,2347664176644;-2,11520271012275;28,3499691277871;17,8932281989556;4,78878015295254;-2481,771061;57;294;-18,80129592;8,00914787523674;10,7059251364175;11,4844105708135;6,1013103247426;170;302;1,58000004291534;1,60000002384186;14;19;10;9;0,310000002384186;0,699999988079071;130;77;78;13;13;120,993740081787;84,0695063874561;183,652142790464;333,871963750232;24,9880740995934;79,7727274000645;17,8571429699659;0;238;0;133;113;11;6,13727617263794;125,406477570534;41,3369711830775;-54,8459821020632;-136,301577340473;102,093432748742;128,8061606884;197,57038640976;127,081506848335;25,1818180084228;26,2272725105286;34,2727274894714;31,1818175315857;10,5866117477417;10,863208770752;13,573956489563;8,324951171875;4,68912609418233;4,35339935620626;5,37190226146153;3,58054426738194;73,6666666666667;171,666666666667;206;40,2857142857143;0;1184,976852;47,6190474927425;8,73866725112454;10,4545595969989;18,1868487950822;1,78360372837048;19,8228403462992;20,7867223962561;26,2347664176644;8,24830552138294;0,000172345049992357;1,33723037521563;10,9332005290242;-2,17573231288363;-4,58373662775211;-3,20914029208094;6,55791348544036;-8,68574648770417;0,272727280855179;24,9803239302202;27,5663210782138;32,0027099609375;14,1045734752308
7;9,12726647722854;17,8083677977195;0,896591608452096;557,574047207833;37,3217186927795;12,1760972738266;640,872288358849;184,461698532105;94,4786616563797;176,345020771027;96,606073498726;8,01745414378204;-90,3913077766245;77,2953011601997;-111,941497465233;83,1881518138008;274,853006308729;17,18336049618;288,286518236259;13,4179216849252;29,5649469767322;658,366450969169;24,6453570477374;-2,47275058861933;27,1181076363567;17,8041589646113;1,05550638091515;-1817,553893;71;294;-14,77686092;6,77532351275027;9,75224844201819;10,394441806319;5,21818333792701;174;297;0,237838104367256;0,230985194444656;5;28;25;32;38,4599990844727;39,4000015258789;130;52;35;23;33;348,206016540527;76,2344405350922;170,862064598081;322,15769846718;19,2825954161327;81,6363629549742;21,2857145369053;0;224;0;124;103;10;6,0776195526123;116,017204761505;39,7827642264128;-55,700959203717;-108,490959003374;93,446402172025;115,161105394364;213,666739463806;112,728997588158;24,8636362552643;24,8181817531586;36,13636302948;28,8181812763214;10,174391746521;8,99425601959229;13,8094177246094;6,98660755157471;4,37192273139954;4,17178185780843;5,72047192709787;3,42191587175642;66;171;202,428571428571;32,5714285714286;0;1091,413736;31,9047624059021;8,36403504739077;9,38753612567856;17,5080998096926;1,17754324309682;18,5119415283203;19,2668740805094;24,6453570477374;6,38063608144787;-0,0244636634727351;0,747900271725368;10,5075619586103;-2,47275058861933;-4,56833079944955;-4,08067238547583;6,62895840731536;-8,68852705522015;0,0909090936183929;23,2525102095171;26,270111916282;30,2679465553977;11,3563102028587
8;7,39181129304404;15,9814434200138;-0,926461247310643;792,740956783295;46,9142646789551;17,0041909217834;789,307769126045;246,17362165451;141,961509227753;240,763184070587;146,492842912674;8,06697703735296;-17,6918659736583;132,207162219085;-22,5577572584151;136,171396242622;263,865487628169;9,7543470086673;263,320941329002;10,3214466700522;29,8468593136779;655,115670430714;22,9884538922991;-4,03943856557208;27,0278924578712;15,3664657031303;-0,715754957598159;0;85;294;0;6,97882846320347;9,36394964771353;10,0137137871284;5,94124825653944;NA;NA;1,41999995708466;1,4099999666214;19;10;20;20;0,5;1,45000004768372;130;45;42;35;38;160,084861755371;71,5916695321681;149,994712358977;293,618502082763;15,38008497857;113,363633364439;36,809523306787;49;210;0;0;161;5;4,93321657180786;159,004450321197;87,4127807890294;30,5174398359997;-12,8116144561147;157,037381661903;180,512152194977;280,806887626648;172,417466640472;25,9545454978943;31,8636374473572;38,4090900421142;34,68181848526;13,334547996521;15,6088190078735;19,1961784362793;9,34508895874023;5,78084643681844;5,26787134011586;6,94145754405431;4,51630364145551;71,8333333333333;161;192,285714285714;40,7142857142857;506,6596006;2064,189845;23,6666664220393;6,62340751086481;7,94590581588418;15,6014222238856;-0,634105986935434;16,8195999343674;17,8445393351766;22,9884538922991;5,16154999175631;-1,64938756769351;-0,422338669021386;9,16800039712487;-4,03943856557208;-5,92178261496802;-5,3709611372514;4,86718000932176;-10,6941651777787;0;22,3456332120029;24,6697368275036;28,8945445667614;11,0270588267933
9;9,67940733767019;18,3523046551329;1,42246262328796;530,185707449913;29,0779352188111;10,8688277006149;476,364978055237;152,092689990997;95,9015148878097;150,112634658813;111,700535178184;8,41170510067529;-132,290628021414;-8,95419024899086;-148,45468810162;95,7656973208725;284,383318012411;104,855705136801;298,567322760433;15,9348378573119;30,6613137987672;657,171051845033;25,5291809874696;-1,90508081840744;27,434261805877;18,2575460722952;6,41231023945336;-3126,733065;57;294;-21,27029296;7,22048223586309;10,2653089085699;10,9003990187495;5,35525608853049;157;304;0,282238692045212;0,275924205780029;2;1;27;40;32,8899993896484;33,6300010681152;130;47;20;26;40;388,520408630371;81,9247631169311;183,006254869871;333,388263496486;22,976503909725;79,4090905338526;20,2380951680243;0;238;0;148;100;11;5,7863597869873;118,106899619103;36,1821365021714;-78,6297412695213;-154,197693618861;105,535220443111;104,376513600349;179,190569877625;128,511724352836;24,31818151474;22,8181817531586;32,9545450210571;30,0454542636871;10,9419507980347;9,24806213378906;11,7685308456421;9,04619407653809;4,54538897673289;4,12703867753347;5,16134881973266;3,82685582978385;71,3333333333333;173,333333333333;207,142857142857;36,8571428571429;0;945,0706141;41,7619049847126;8,66945813992326;10,245008731198;17,9931161884032;1,74656803341067;19,154694039481;20,4204638988941;25,5291809874696;7,28995527787644;0,150195173783759;1,25285283868965;10,8545491998846;-1,90508081840744;-4,28194413618606;-3,43907359730111;6,88073813698511;-8,01327916925601;0,318181827664375;23,9652329878374;27,0799929532138;31,3375377308239;12,7246573708274
10;9,83408430133152;18,7478631981524;1,31101443605852;548,845543980598;30,3502373695374;12,2027250528336;491,178713925736;159,040617704391;102,355877399445;158,393084526062;114,413064956665;8,8430926910925;-127,407451208536;-4,65058674952383;-141,710413548854;98,1509505649706;286,448068912927;107,006464148968;300,103498074916;16,2621143916942;31,235382168478;675,933273384977;26,018204171317;-2,29293555924384;28,3111397305608;18,6201509153688;6,60014844291656;-2968,952413;71;294;-20,47553388;7,78827723383388;10,6286382468748;11,1549480063132;5,90489729142292;162;307;1,74000000953674;1,73000001907349;4;3;4;4;0,389999985694885;2,1800000667572;130;88;87;8;9;118,942836761475;82,719536298499;184,84135953178;335,326114722661;23,6625235571979;86,1363641768694;20,1904762759805;0;224;0;146;91;11;6,45471429824829;114,782412648201;32,0628763497021;-69,5848964809378;-148,584968158177;108,402998159873;115,256463050842;186,741146564484;132,065521717071;24,1363635063171;23,4545452594757;31,5454549789429;30,8181817531586;9,44486808776855;10,1466808319092;14,1781272888184;8,02310180664062;4,40222410360972;4,31333518028259;5,51504128319876;3,84094858169556;72,1666666666667;172,5;205,857142857143;38,4285714285714;0;1001,601385;47,5714282765985;8,71644305604879;10,5200526976482;18,3665978964273;1,67157600534945;19,5209493661856;20,8032478629769;26,018204171317;7,7232700100193;-0,220124935794163;1,06833959802407;11,1649243639661;-2,29293555924384;-5,03145585493606;-3,64755443226205;7,08513655229051;-8,88930081454188;0,272727280855179;24,7428777521307;27,8997783314098;32,0922429865057;13,3788002707742
11;9,30487942417742;17,6214765639532;1,3963613482609;632,68557035923;34,5485577583313;14,4896924495697;501,914142832908;180,29878115654;120,589705944061;177,271992921829;137,248278021812;8,03056655347724;-91,0214524361994;22,6889553557984;-107,872939281649;122,603690482955;271,320233592739;97,9007505882628;285,144932203479;14,6445875388569;30,2285220970674;631,052981766668;24,7184058251319;-1,84778397300024;26,5661897981321;17,6017103715377;6,0245980167802;-1739,958431;57;294;-15,81780391;6,84278506324405;9,86702941300032;10,3467836539246;5,15833685078146;174;284;0,237838104367256;0,230985194444656;5;28;25;32;38,4599990844727;39,4000015258789;130;52;35;23;33;348,206016540527;77,2860827204263;173,455059878387;318,160586014971;20,9823178104293;75,5000000745058;19,2380955666304;10;238;0;111;117;11;5,57802200317383;138,944211483002;61,6581287625752;-48,4449173136133;-108,312043086275;137,90035557233;125,010142564774;209,848542928696;158,882673382759;27,3181822299957;25,4090905189514;35,8636364936829;33,7727270126343;10,7709512710571;9,72594356536865;15,2566986083984;9,0220251083374;4,87780276934306;4,43347899119059;5,62836156572614;4,07992918150766;67,1666666666667;169,833333333333;200,571428571429;33;92,24974833;1160,081893;33,428571421653;8,4925904112977;9,65712233374132;17,3137656839969;1,69031839577153;18,6744250409015;19,6514558073762;24,7184058251319;6,93455628234073;0,409174475731811;1,12074422464745;10,2822518683099;-1,84778397300024;-3,80462701970878;-3,35045887340197;6,73191361860798;-7,87216796874998;0,181818187236786;23,1657140558416;26,2557450727983;30,5197221235796;12,1285880348899
12;9,02120657033856;17,5037944413883;0,758993740824932;551,009363651276;32,5984663963318;12,4621185064316;488,095909741321;157,844068288803;104,390033602715;148,944704055786;108,620383262634;8,76575486128861;-125,568270674221;57,4383296757671;-142,139117521125;92,5472355336115;283,412338963024;46,9517039269475;291,083821576911;16,0731477290229;31,5881213183969;645,122109457405;25,2341766753754;-2,51598539641407;27,7501620717895;15,7722469412403;2,90662563043242;-2799,459918;71;294;-21,20802968;7,68631047500676;10,387277231588;11,1039466220948;5,96292482846743;172;304;1,37000000476837;1,35000002384186;17;4;22;23;0,889999985694885;2,08999991416931;130;26;23;52;54;173,305122375489;82,0921251943226;175,061839972034;325,37350146337;23,8515133273129;85,4090908914805;25,6666671782732;0;224;0;133;101;11;5,62783479690552;126,558606743813;44,46648154949;-49,3653908114577;-153,677033348517;103,206326304722;125,696449160576;171,696468114853;127,057839632034;26,0000002384186;25,31818151474;31,0454545021057;31,40909075737;10,469744682312;10,203239440918;16,0195789337158;9,02872562408447;4,66779990990957;4,4784365495046;5,34006384440831;3,59127620288304;74,8333333333333;173,333333333333;206,285714285714;42;0;1063,011301;38,095237866044;8,20914631633017;9,51053227015907;17,1727130981898;1,14632966036259;19,0479380025492;19,7863545999899;25,2341766753754;7,62853710620437;-0,253194893180527;1,11127030013446;10,2846615679853;-2,66410229175119;-5,194638893821;-3,77160283868961;6,06506569602275;-9,55998077392576;0,0454545468091965;24,2518069180576;26,5315199418502;30,8628284801137;13,4705111416904
